	Phylum
1090_Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Williamsiaceae_Williamsia_Williamsia_unclassified_	Actinobacteria
1091_Bacteria_Proteobacteria_Alphaproteobacteria_Rhodospirillales_Acetobacteraceae_Acetobacteraceae_unclassified_Acetobacteraceae_unclassified_	Proteobacteria
1092_Bacteria_Verrucomicrobia__Spartobacteria___Chthoniobacterales___Chthoniobacteraceae__71___Chthoniobacteraceae__unclassified_69___Chthoniobacteraceae__unclassified_69__	Verrucomicrobia
1093_Bacteria_Verrucomicrobia__Methylacidiphilae__Methylacidiphilales_Methylacidiphilales_unclassified_Methylacidiphilales_unclassified_Methylacidiphilales_unclassified_	Verrucomicrobia
1094_Bacteria_Acidobacteria_Acidobacteriia_Acidobacteriales_Acidobacteriaceae_Acidobacteriaceae_unclassified_Acidobacteriaceae_unclassified_	Acidobacteria
1095_Bacteria_Proteobacteria_Alphaproteobacteria_Alphaproteobacteria_unclassified_Alphaproteobacteria_unclassified_Alphaproteobacteria_unclassified_Alphaproteobacteria_unclassified_	Proteobacteria
1096_Bacteria_Proteobacteria_Deltaproteobacteria_Myxococcales_Myxococcales_unclassified_Myxococcales_unclassified_Myxococcales_unclassified_	Proteobacteria
1097_Bacteria_Proteobacteria_Deltaproteobacteria_Myxococcales_Cystobacterineae_Cystobacterineae_unclassified_Cystobacterineae_unclassified_	Proteobacteria
1098_Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Beijerinckiaceae_52__Beijerinckiaceae_unclassified_52__Beijerinckiaceae_unclassified_52__	Proteobacteria
1099_Bacteria_Proteobacteria_Alphaproteobacteria_Sphingomonadales_Sphingomonadaceae_Sphingomonas_Sphingomonas_unclassified_	Proteobacteria
109_Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Thermomonosporaceae_97__Thermomonosporaceae_unclassified_86__Thermomonosporaceae_unclassified_86__	Actinobacteria
10_Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas_Pseudomonas_unclassified_56__	Proteobacteria
1100_Bacteria_Bacteria_unclassified_Bacteria_unclassified_Bacteria_unclassified_Bacteria_unclassified_Bacteria_unclassified_Bacteria_unclassified_	Bacteria_unclassified
1101_Bacteria_Proteobacteria_Alphaproteobacteria_Rhodospirillales_Rhodospirillales_unclassified_85__Rhodospirillales_unclassified_85__Rhodospirillales_unclassified_85__	Proteobacteria
1102_Bacteria_Proteobacteria_Deltaproteobacteria_Myxococcales_Myxococcales_unclassified_90__Myxococcales_unclassified_90__Myxococcales_unclassified_90__	Proteobacteria
1103_Bacteria_Proteobacteria_Deltaproteobacteria_Bdellovibrionales_Bdellovibrionaceae_Bdellovibrio_Bdellovibrio_unclassified_	Proteobacteria
1104_Bacteria_TM7_TM7-1_TM7-1_unclassified_TM7-1_unclassified_TM7-1_unclassified_TM7-1_unclassified_	TM7
1105_Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Thermomonosporaceae_68__Thermomonosporaceae_unclassified_68__Thermomonosporaceae_unclassified_68__	Actinobacteria
1106_Bacteria_Others_Others_unclassified_Others_unclassified_Others_unclassified_Others_unclassified_Others_unclassified_	Bacteria_unclassified
1107_Bacteria_TM7_TM7-3_EW055_EW055_unclassified_EW055_unclassified_EW055_unclassified_	TM7
1108_Bacteria_Verrucomicrobia__Methylacidiphilae__Methylacidiphilales_Methylacidiphilales_unclassified_Methylacidiphilales_unclassified_Methylacidiphilales_unclassified_	Verrucomicrobia
1109_Bacteria_Proteobacteria_Deltaproteobacteria_Bdellovibrionales_Bdellovibrionaceae_Bdellovibrio_Bdellovibrio_unclassified_	Proteobacteria
