OTU	Size	Taxonomy
Otu00123	2559	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacteraceae_unclassified;Acetobacteraceae_unclassified;
Otu00124	2553	Bacteria;Bacteroidetes;[Saprospirae];[Saprospirales];Chitinophagaceae;Chitinophagaceae_unclassified;Chitinophagaceae_unclassified;
Otu00125	2544	Bacteria;Acidobacteria;Solibacteres;Solibacterales;Solibacteraceae;Candidatus_Solibacter;Candidatus_Solibacter_unclassified;
Otu00126	2401	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;wittichii;
Otu00127	2376	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Kineosporiaceae;Kineosporia(93);Kineosporia_unclassified(90);
Otu00128	2350	Bacteria;Acidobacteria;Solibacteres;Solibacterales;Solibacterales_unclassified;Solibacterales_unclassified;Solibacterales_unclassified;
Otu00129	2329	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacteraceae_unclassified;Acetobacteraceae_unclassified;
Otu00130	2327	Bacteria;Verrucomicrobia;[Methylacidiphilae];Methylacidiphilales;Methylacidiphilales_unclassified;Methylacidiphilales_unclassified;Methylacidiphilales_unclassified;
Otu00131	2327	Bacteria;Acidobacteria;Solibacteres;Solibacterales;Solibacteraceae;Candidatus_Solibacter;Candidatus_Solibacter_unclassified;
Otu00132	2297	Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Acidobacteriaceae_unclassified;Acidobacteriaceae_unclassified;
Otu00133	2231	Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Acidobacteriaceae_unclassified(98);Acidobacteriaceae_unclassified(98);
Otu00134	2211	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Mucilaginibacter;Mucilaginibacter_unclassified;
Otu00135	2112	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Rhizobiaceae_unclassified(71);Rhizobiaceae_unclassified(71);
